individual,day,dive_no,total_N,total_rms,max_depth,dive_dur,Vair,BD,initial_depth,avg_pitch,avg_speed,glide_duration,cvar_pitch,cvar_roll
ml17_280a,17,1,154,1.084577165,681.6,1160,9.113924051,1035.338,26.136787,-77.75533447,1.666531367,15,0.000232615,0.016727226
ml17_280a,17,10,173,1.139134297,529.3,1790,22.53164557,1035.338,26.714563,-78.93295663,1.4943713,16,0.001316761,0.015768695
ml17_280a,17,11,97,0.872689086,510.8,1671,10.63291139,1035.338,24.315811,-70.46542131,1.717715988,16,0.001312997,0.04517857
ml17_280a,17,2,205,1.00055149,672.2,1239,15.94936709,1035.338,30.010288,-77.56247131,1.6512456,13,0.000298225,0.179346797
ml17_280a,17,22,270,1.072760786,610.9,1405,25.3164557,1035.338,32.300713,-84.83509258,1.555862158,12,0.000670027,0.062454136
ml17_280a,17,26,206,1.061892025,682.9,1458,24.81012658,1035.338,33.480785,-76.54192573,1.638851064,11,0.000106071,0.007396884
ml17_280a,17,28,273,1.031321541,669.4,1445,34.17721519,1035.338,34.138954,-75.627979,1.534381118,11,6.02E-05,0.008153143
ml17_280a,17,35,210,1.074624031,427.7,1430,24.05063291,1035.338,32.407467,-80.13099464,1.652596055,11,0.000175219,0.212766597
ml17_280a,17,37,79,0.884196065,663.9,1149,14.17721519,1035.338,21.756935,-74.44035184,1.572640253,19,0.000930158,0.039464722
ml17_280a,17,38,193,0.967458681,641.4,1095,20.25316456,1035.338,19.099722,-77.3132385,1.61720407,20,0.001047344,0.02805794
ml17_280a,17,40,106,0.904485751,611.8,1162,11.89873418,1035.338,22.866634,-76.43134982,1.665657288,17,0.000452763,0.061231403
ml17_280a,17,41,77,1.035884558,601.8,1131,16.4556962,1035.338,19.956341,-75.97270532,1.648051305,19,0.000298236,0.017627363
ml17_280a,17,42,81,0.971659369,533.4,1099,20.75949367,1035.338,18.315594,-73.72946452,1.625147748,21,0.000747697,0.029303323
ml17_280a,17,44,97,0.971641495,528,1074,8.35443038,1035.338,24.851711,-81.22330194,1.648046575,16,0.000839213,0.126742082
ml17_280a,17,48,99,1.037951352,531.7,1089,17.46835443,1035.338,24.230057,-78.20170644,1.672275588,16,4.45E-05,0.004100719
ml17_280a,17,5,200,1.121857368,739.9,1281,23.03797468,1035.338,28.122168,-81.8217346,1.549633467,15,0.001530246,0.149141825
ml17_280a,17,50,210,1.157772971,505.1,1111,25.56962025,1035.338,29.333643,-79.92429777,1.700786285,13,0.000110693,0.038181126
ml17_280a,17,54,145,0.999561608,511.6,1019,8.101265823,1035.338,24.988352,-77.81240544,1.693984688,16,0.000459478,0.032159089
ml17_280a,17,57,135,1.20340465,523.1,1072,17.46835443,1035.338,24.64595,-79.07900106,1.668462844,16,0.001139637,0.029387482
ml17_280a,17,58,134,1.383526442,529.7,1137,20,1035.338,27.632191,-78.53315636,1.668843879,14,0.000272969,0.008680218
ml17_280a,17,6,207,1.160611445,819.4,1305,26.58227848,1035.338,30.766052,-80.02537123,1.6140473,13,0.000271467,0.012961169
ml17_280a,2,13,205,0.9662195,382.8,1132,9.873417722,1034.782,28.266066,-61.32806067,1.745297253,15,0.000132036,0.004887123
ml17_280a,2,14,187,1.055477667,354.6,992,14.93670886,1034.782,28.265926,-65.64560187,1.675113607,15,4.62E-05,0.002561554
ml17_280a,2,16,218,1.033751969,604.4,1402,13.67088608,1034.782,32.046013,-63.60820538,1.657602577,13,2.98E-05,0.00522155
ml17_280a,2,17,221,1.019215758,560.7,1522,19.74683544,1034.782,32.378342,-59.79272608,1.617199385,13,0.000133832,0.004096393
ml17_280a,2,18,74,0.995632033,575.7,1585,12.65822785,1034.782,21.338856,-59.86834845,1.581712373,22,0.000941925,0.033073702
ml17_280a,2,19,183,1.04602624,483.6,1470,6.075949367,1034.782,26.868383,-59.86931944,1.745945538,16,0.001620479,0.010515763
ml17_280a,2,20,114,0.952402596,633.8,1472,4.050632911,1034.782,27.706829,-60.5549874,1.71630694,15,0.000503672,0.025762479
ml17_280a,2,21,247,1.045836692,371.4,1205,20,1034.782,30.289942,-62.26519707,1.658229593,14,4.12E-05,0.01619287
ml17_280a,2,24,254,1.070424128,592.2,1406,5.569620253,1034.782,33.628651,-56.77840964,1.799075282,11,0.00045883,0.016299
ml17_280a,2,26,167,1.067040327,576.6,1461,3.797468354,1034.782,29.678427,-56.44833864,1.852795393,14,0.000450217,0.029813084
ml17_280a,2,32,217,1.094989943,502.9,1316,24.30379747,1034.782,32.566555,-57.46394317,1.783804083,12,0.00101151,0.018531442
ml17_280a,2,34,213,1.258392483,250.3,1019,10.88607595,1034.782,30.201227,-61.54246245,1.743697209,11,0.001814865,0.055732471
ml17_280a,24,18,187,0.926845899,515,1663,13.16455696,1034.247,29.690582,-78.58269915,1.668458677,13,8.75E-05,0.003601503
ml17_280a,24,3,74,1.028378153,472.7,1095,4.050632911,1034.247,19.635962,-78.686824,1.796888417,18,0.000646521,0.004941515
ml17_280a,24,4,113,1.135860953,482.5,1196,17.21518987,1034.247,23.952068,-82.42089328,1.4728447,18,0.00057422,0.002795615
ml17_280a,24,56,110,0.987332505,511.8,993,11.89873418,1034.247,16.78002,-73.37534573,1.654956232,22,0.001364982,0.092136845
ml17_280a,24,58,96,0.963335657,435.5,1048,18.48101266,1034.247,26.178711,-85.46548347,1.638314827,15,0.000906843,0.215644671
ml17_280a,24,59,97,0.861627256,436.9,1032,15.44303797,1034.247,24.613117,-79.53125806,1.457911711,18,0.000229796,0.00423159
ml17_280a,24,60,99,0.8770064,430.6,1005,15.69620253,1034.247,22.826933,-82.02756628,1.619729283,18,0.001232125,0.149824315
ml17_280a,24,62,173,0.882135671,425.1,1145,17.97468354,1034.247,31.935598,-81.50576083,1.586768192,12,0.000110369,0.005108753
ml17_280a,9,10,215,0.977174466,642.6,2008,18.98734177,1036.254,31.880648,-66.68176342,1.69681555,12,6.67E-05,0.329603034
ml17_280a,9,12,154,0.954900441,662.6,2223,22.02531646,1036.254,26.452278,-74.79240065,1.518937724,17,0.001462703,0.197563853
ml17_280a,9,13,214,0.911804225,743.1,1776,10.88607595,1036.254,33.593925,-73.82562236,1.647029109,11,5.03E-05,0.002582351
ml17_280a,9,14,254,0.933918365,659.4,1941,23.5443038,1036.254,33.97588,-73.01377873,1.565477873,11,0.001781722,0.263099763
ml17_280a,9,15,256,1.067861231,976.9,1831,25.06329114,1036.254,34.408436,-70.1624565,1.6209748,10,8.35E-05,0.217452241
ml17_280a,9,16,232,1.062238842,655.2,1733,24.30379747,1036.254,30.061176,-69.07039579,1.597283093,14,0.000481276,0.012318989
ml17_280a,9,20,130,0.979703969,672.4,1894,29.87341772,1036.254,32.433784,-65.62285967,1.638299292,12,0.005418509,0.462824645
ml17_280a,9,21,195,0.825793905,980.4,1863,19.24050633,1036.254,30.304955,-63.36509892,1.635315025,12,0.001194801,0.157261626
ml17_280a,9,22,175,1.137376411,1005.2,1782,26.58227848,1036.254,35.007874,-70.51533564,1.592512255,11,0.001099697,0.151306289
ml17_280a,9,24,308,0.969862391,930.8,1701,20.50632911,1036.254,35.489079,-64.66851691,1.601787791,11,0.000788475,0.004917341
ml17_280a,9,27,246,0.887515572,723.4,1565,24.05063291,1036.254,33.65387,-61.07498127,1.643381455,11,0.000396322,0.066479941
ml17_280a,9,28,254,0.974339357,721,1659,19.49367089,1036.254,30.778294,-67.84722357,1.581139621,14,0.00036387,0.375892838
ml17_280a,9,34,152,0.949485469,634.9,1125,11.64556962,1036.254,26.945076,-68.17114153,1.740801567,15,6.89E-05,0.00799763
ml17_280a,9,35,192,0.88671127,655.2,1162,20.25316456,1036.254,18.492039,-70.163071,1.626781686,21,0.000427353,0.016501419
ml17_280a,9,5,97,0.997164757,655.9,1348,20,1036.254,22.524712,-81.48564479,1.521737353,19,0.004414534,0.28499352
ml17_280a,9,9,161,0.94480292,749.2,1575,21.7721519,1036.254,26.865601,-74.37823769,1.559902113,16,2.56E-05,0.002448379
ml17_301a,17,18,94,1.223927543,411.9,872,9.832134293,1037.304,15.525213,-79.42311533,1.980584706,18,0.000575061,0.135117772
ml17_301a,17,19,153,1.035376929,486.2,988,12.94964029,1037.304,17.848076,-80.61481471,1.965033612,17,0.000439251,0.007152863
ml17_301a,17,20,146,1.282489185,601,1040,16.54676259,1037.304,24.779554,-81.72398257,1.890525536,14,0.001221641,0.024212379
ml17_301a,17,26,184,1.169412231,569.2,1303,17.0263789,1037.304,20.811623,-82.91282613,1.983493187,15,0.000911361,0.143427601
ml17_301a,17,28,216,1.250646122,598.7,1235,25.17985612,1037.304,23.090626,-81.1291178,1.849956427,15,0.000892575,0.002487564
ml17_301a,17,29,259,1.260245974,601.7,1335,23.50119904,1037.304,27.662453,-78.61972808,1.974474283,12,0.000710162,0.221511793
ml17_301a,17,3,158,1.403655194,380.3,1124,22.30215827,1037.304,25.840057,-83.9725546,1.669663893,15,0.000187947,0.000779445
ml17_301a,17,30,260,1.227679177,595.1,1276,27.3381295,1037.304,28.246407,-79.28659758,1.926267867,12,0.000463648,0.002137757
ml17_301a,17,34,274,1.281008491,564.5,1108,25.41966427,1037.304,30.081327,-80.23683782,1.932005964,11,0.000254477,0.00082519
ml17_301a,17,35,163,1.232204168,531.4,1196,16.54676259,1037.304,22.406139,-79.96950827,1.9815113,15,0.00076579,0.16321147
ml17_301a,17,41,256,1.227715516,512.9,1208,25.17985612,1037.304,28.930906,-76.75031973,2.021932891,11,0.00057883,0.21688015
ml17_301a,17,42,157,1.300892359,423.6,1175,19.18465228,1037.304,29.51712,-74.71716173,2.075013018,11,0.000568148,0.05366898
ml17_301a,17,44,207,1.348552676,384,1047,22.30215827,1037.304,25.579887,-79.14675262,2.042444685,13,0.000519843,0.046785203
ml17_301a,17,45,187,1.34344083,382.5,950,22.30215827,1037.304,24.755548,-80.54319338,2.086874331,13,0.000175722,0.001370247
ml17_301a,17,46,122,1.218158276,177.6,855,11.51079137,1037.304,17.4797,-76.96065,2.219768181,16,0.000360012,0.13337507
ml17_301a,17,56,70,1.201732618,386.8,948,7.434052758,1037.304,13.406918,-76.42315195,2.037298595,19,0.004043471,0.198382306
ml17_301a,17,66,124,0.994715823,510.4,1411,11.51079137,1037.304,15.554205,-67.6454691,1.932413365,20,0.002293288,0.460340379
ml17_301a,2,10,105,1.017875261,261.6,820,17.74580336,1041.22,16.847939,-64.71229395,2.057333505,19,0.006914977,0.749548759
ml17_301a,2,12,101,1.131864593,327.2,1035,14.38848921,1041.22,19.341341,-59.83794222,2.079548244,18,0.007605422,0.349173519
